iter	Passed	Remaining
961	35421	1399
962	35461	1362
963	35499	1325
964	35562	1289
965	35612	1253
966	35657	1216
967	35695	1180
968	35734	1143
969	35773	1106
970	35803	1069
971	35835	1032
972	35866	995
973	35892	958
974	35923	921
975	35954	884
976	35987	847
977	36021	810
978	36053	773
979	36098	736
980	36132	699
981	36163	662
982	36194	625
983	36227	589
984	36258	552
985	36298	515
986	36327	478
987	36356	441
988	36388	404
989	36429	367
990	36468	331
991	36512	294
992	36553	257
993	36598	220
994	36633	184
995	36666	147
996	36698	110
997	36727	73
998	36759	36
999	36791	0
